CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,JURIS_DESC,BORO_NM,ADDR_PCT_CD,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon
723967158,12-30-2015,17:24:00,,,12-30-2015,126,MISCELLANEOUS PENAL LAW,117,RECKLESS ENDANGERMENT 1,COMPLETED,FELONY,N.Y. POLICE DEPT,QUEENS,113,,STREET,1043959,189514,40.68665574,-73.78470664,"(40.686655742, -73.784706636)"
691408114,12-30-2015,17:21:00,12-30-2015,18:33:00,12-30-2015,341,PETIT LARCENY,333,"LARCENY,PETIT FROM STORE-SHOPL",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,9,INSIDE,CLOTHING/BOUTIQUE,985280,203781,40.72601663,-73.99628535,"(40.72601663, -73.996285351)"
312670357,12-30-2015,17:20:00,12-30-2015,17:35:00,12-30-2015,236,DANGEROUS WEAPONS,782,"WEAPONS, POSSESSION, ETC",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,STATEN ISLAND,121,,PARKING LOT/GARAGE (PUBLIC),939346,168921,40.63022005,-74.16177636,"(40.630220051, -74.161776361)"
728583464,12-30-2015,17:20:00,12-30-2015,17:25:00,12-30-2015,341,PETIT LARCENY,338,"LARCENY,PETIT FROM BUILDING,UN",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BRONX,45,INSIDE,DEPARTMENT STORE,1033597,255731,40.86846738,-73.82158285,"(40.868467378, -73.821582846)"
227584639,12-30-2015,17:20:00,12-30-2015,17:30:00,12-30-2015,109,GRAND LARCENY,439,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",COMPLETED,FELONY,N.Y. POLICE DEPT,BRONX,50,,PARK/PLAYGROUND,1012807,265661,40.89581386,-73.89670857,"(40.895813858, -73.896708571)"
770287144,12-30-2015,17:20:00,12-30-2015,17:30:00,12-30-2015,348,VEHICLE AND TRAFFIC LAWS,916,LEAVING SCENE-ACCIDENT-PERSONA,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BROOKLYN,84,FRONT OF,STREET,988390,190151,40.68860459,-73.98507328,"(40.688604586, -73.985073283)"
193946318,12-30-2015,17:15:00,,,12-30-2015,109,GRAND LARCENY,415,"LARCENY,GRAND FROM PERSON,PICK",COMPLETED,FELONY,N.Y. TRANSIT POLICE,MANHATTAN,17,,TRANSIT - NYC SUBWAY,993063,216978,40.76223477,-73.96818808,"(40.762234771, -73.968188083)"
145771544,12-30-2015,17:15:00,12-30-2015,18:00:00,12-30-2015,578,HARRASSMENT 2,638,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,N.Y. POLICE DEPT,BROOKLYN,73,FRONT OF,RESIDENCE - APT. HOUSE,1008200,181870,40.66584369,-73.91367112,"(40.665843685, -73.913671117)"
361084205,12-30-2015,17:10:00,12-30-2015,17:15:00,12-30-2015,109,GRAND LARCENY,404,"LARCENY,GRAND FROM PERSON,PERSONAL ELECTRONIC DEVICE(SNATCH)",COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,83,FRONT OF,STREET,1006684,190282,40.68893669,-73.9191077,"(40.68893669, -73.919107697)"
470379564,12-30-2015,17:06:00,12-30-2015,17:14:00,12-30-2015,341,PETIT LARCENY,307,"LARCENY,PETIT BY DISHONEST EMP",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,QUEENS,110,INSIDE,DEPARTMENT STORE,1019840,206689,40.73392684,-73.8715824,"(40.733926841, -73.871582398)"
895713484,12-30-2015,17:05:00,12-30-2015,17:23:00,12-30-2015,341,PETIT LARCENY,333,"LARCENY,PETIT FROM STORE-SHOPL",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,QUEENS,113,INSIDE,COMMERCIAL BUILDING,1051031,186704,40.67889243,-73.75923485,"(40.678892428, -73.759234851)"
496933324,12-30-2015,17:05:00,,,12-30-2015,578,HARRASSMENT 2,637,"HARASSMENT,SUBD 1,CIVILIAN",COMPLETED,VIOLATION,N.Y. POLICE DEPT,QUEENS,101,INSIDE,GROCERY/BODEGA,1053650,158969,40.60274595,-73.75007787,"(40.602745951, -73.750077865)"
851917049,12-30-2015,17:05:00,12-30-2015,17:10:00,12-30-2015,578,HARRASSMENT 2,638,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,N.Y. POLICE DEPT,BRONX,43,INSIDE,OTHER,1023436,242970,40.83349321,-73.85839539,"(40.833493209, -73.858395386)"
